variable,value
"po[GSP-a,XEA]",0.9999999976940147
"po[NUC-a,XEA]",0.9999999976940147
"po[HYD-a,XEA]",0.9999999976940147
"po[SOL-a,XEA]",0.9999999976940147
"po[WND-a,XEA]",0.9999999976940147
"po[XEL-a,XEA]",0.9999999976940147
"po[SRV-a,XEA]",0.9999999967873007
"po[AGR-a,USA]",1.0000000213162832
"po[FRS-a,USA]",1.0000000635571389
"po[COA-a,USA]",1.0000000007387033
"po[OIL-a,USA]",1.0000000010580183
"po[GAS-a,USA]",1.0000000006894882
"po[OXT-a,USA]",1.000000019108259
"po[EIT-a,USA]",1.0000000010048755
"po[XMN-a,USA]",1.0000000016813764
"po[P_C-a,USA]",1.000000000811627
"po[ETD-a,USA]",1.0000000007326608
"po[CLP-a,USA]",1.0000000007326608
"po[OLP-a,USA]",1.0000000007326608
"po[GSP-a,USA]",1.0000000007326608
"po[NUC-a,USA]",1.0000000007326608
"po[HYD-a,USA]",1.0000000007326608
"po[SOL-a,USA]",1.0000000007326608
"po[WND-a,USA]",1.0000000007326608
"po[XEL-a,USA]",1.0000000007326608
"po[SRV-a,USA]",1.000000000783432
"po[AGR-a,RUS]",1.0000000552434511
"po[FRS-a,RUS]",1.000000005197774
"po[COA-a,RUS]",1.0000000011416166
"po[OIL-a,RUS]",1.000000001108551
"po[GAS-a,RUS]",1.0000000011215802
"po[OXT-a,RUS]",0.9999999973385524
"po[EIT-a,RUS]",1.0000000011159
"po[XMN-a,RUS]",1.0000000047496032
"po[P_C-a,RUS]",1.0000000011079884
"po[ETD-a,RUS]",1.000000001116792
"po[CLP-a,RUS]",1.0000000011167918
"po[OLP-a,RUS]",1.000000001116792
"po[GSP-a,RUS]",1.0000000011167918
"po[NUC-a,RUS]",1.000000001116792
"po[HYD-a,RUS]",1.000000001116792
"po[SOL-a,RUS]",1.0
"po[WND-a,RUS]",1.000000001116792
"po[XEL-a,RUS]",1.0000000011167918
"po[SRV-a,RUS]",1.0000000013275834
"po[AGR-a,EUR]",0.9999999652478575
"po[FRS-a,EUR]",0.9999999968666954
"po[COA-a,EUR]",0.999999998814124
"po[OIL-a,EUR]",0.9999999951821185
"po[GAS-a,EUR]",0.9999999971108781
"po[OXT-a,EUR]",0.9999999948328728
"po[EIT-a,EUR]",0.9999999995968658
"po[XMN-a,EUR]",0.9999999978622965
"po[P_C-a,EUR]",0.9999999997933884
"po[ETD-a,EUR]",0.9999999994661591
"po[CLP-a,EUR]",0.999999999466159
